color_name,color_space_id,color_space_name,component_1,component_2,component_3,component_4
White,8,Grayscale,0,0,0,0
10% Gray,8,Grayscale,1000,0,0,0
15% Gray,8,Grayscale,1500,0,0,0
20% Gray,8,Grayscale,2000,0,0,0
25% Gray,8,Grayscale,2500,0,0,0
30% Gray,8,Grayscale,3000,0,0,0
35% Gray,8,Grayscale,3500,0,0,0
40% Gray,8,Grayscale,4000,0,0,0
45% Gray,8,Grayscale,4500,0,0,0
50% Gray,8,Grayscale,5000,0,0,0
55% Gray,8,Grayscale,5500,0,0,0
60% Gray,8,Grayscale,6000,0,0,0
65% Gray,8,Grayscale,6500,0,0,0
70% Gray,8,Grayscale,7000,0,0,0
75% Gray,8,Grayscale,7500,0,0,0
80% Gray,8,Grayscale,8000,0,0,0
85% Gray,8,Grayscale,8500,0,0,0
90% Gray,8,Grayscale,9000,0,0,0
95% Gray,8,Grayscale,9500,0,0,0
Black,8,Grayscale,10000,0,0,0
